District,Rainfall,Water_Level,Humidity,Temperature,Wind_Speed,Flood_Occurrence
Viluppuram,0.0,0.72,71.2,35.9,8.0,0
Tiruchirappalli,67.75,4.37,71.1,26.1,23.6,0
Theni,5.67,1.68,65.5,19.5,17.2,0
Pudukkottai,34.42,2.1,96.1,31.5,59.0,1
Erode,0.0,1.19,53.3,40.6,10.4,0
Tiruchirappalli,19.42,2.08,77.3,31.3,28.8,0
Chengalpattu,51.43,1.69,84.6,28.0,29.6,0
Karur,109.56,7.75,93.9,29.6,23.5,0
Kanyakumari,17.06,1.73,92.2,24.7,16.7,0
Vellore,0.0,1.1,48.1,36.5,10.1,0
Chennai,17.76,1.88,68.8,31.9,23.5,0
Ramanathapuram,3.38,1.49,67.0,29.9,18.2,0
Thanjavur,0.0,4.48,80.0,39.2,7.4,1
Ranipet,2.85,1.15,58.0,38.0,20.0,0
Tenkasi,15.85,2.36,61.8,18.1,5.2,1
Tiruvallur,2.89,2.06,70.0,33.3,28.2,0
Ranipet,0.0,0.82,66.1,36.7,16.2,0
Sivaganga,0.0,1.42,56.4,38.1,10.2,0
Tiruvallur,0.37,2.37,66.3,39.4,13.7,0
Tenkasi,1.2,1.49,65.3,19.9,7.5,0
Mayiladuthurai,35.39,2.42,70.8,32.9,68.5,0
Thanjavur,133.86,7.87,100.0,33.4,20.4,0
Viluppuram,0.0,0.89,48.3,30.2,17.2,0
Erode,0.0,1.32,72.5,38.3,5.0,0
Chennai,0.32,1.45,84.6,38.0,24.9,0
Chengalpattu,38.89,2.67,72.9,34.6,57.8,0
Tiruvallur,1.18,3.04,76.4,34.7,38.5,0
Tirunelveli,0.0,0.6,73.6,38.8,15.8,0
Tenkasi,48.01,3.08,77.3,10.6,44.3,0
Virudhunagar,3.85,1.02,51.2,33.0,23.5,0
Vellore,0.0,0.93,73.7,39.8,8.4,0
Tiruvarur,18.55,0.57,86.0,29.1,35.5,0
Mayiladuthurai,72.08,3.69,87.4,24.7,32.7,0
Chengalpattu,7.0,1.72,76.2,28.6,23.6,1
Tirupathur,23.7,3.13,77.4,15.7,12.2,0
Tiruvarur,51.83,2.98,97.6,27.9,22.2,1
The Nilgiris,19.78,1.76,96.3,13.7,8.3,1
Chennai,13.42,3.05,77.6,28.5,19.8,1
Thanjavur,5.64,2.44,79.0,32.6,14.3,0
Theni,0.4,0.74,73.0,16.9,5.2,0
Tiruchirappalli,0.35,4.4,79.7,31.3,10.8,0
The Nilgiris,149.17,7.62,100.0,8.0,41.5,1
Perambalur,1.44,0.71,49.5,35.2,12.0,0
Ranipet,0.0,2.11,72.8,36.4,6.4,0
Tiruppur,0.0,0.98,73.4,29.6,6.6,0
Tirunelveli,1.78,0.63,64.7,35.5,20.6,0
Tenkasi,180.91,9.45,79.9,14.1,31.1,0
